# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      
belloc               foil_left              4.812500000000e-01  -1.515135323277e-02  -4.009177746668e-01   7.377178984393e-02   2.887113259669e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.544984694979e-02   3.076580067334e-03   3.382691840079e+00   0.000000000000e+00  -3.915567439678e+01   3.328404296362e-01  -2.653514659588e+00   7.736776111357e+05   1.152761571324e-01   4.618390178537e-01   0.000000000000e+00   1.200000000000e-02  -2.004291341615e-02
belloc               foil_left              4.687500000000e-01  -1.445290570714e-02  -3.911021165568e-01   6.962347453155e-02   2.920953038674e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.544984694979e-02   3.112640581837e-03   3.380858031819e+00   0.000000000000e+00  -3.910468043370e+01   3.245044802502e-01  -2.645317201964e+00   7.817130579549e+05   1.151240539167e-01   4.616521028609e-01   0.000000000000e+00   1.200000000000e-02  -2.004291341615e-02
belloc               foil_left              4.562500000000e-01  -1.375445818152e-02  -3.812864584468e-01   6.547515921918e-02   2.954792817680e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.544984694979e-02   3.148701096340e-03   3.381890210353e+00   0.000000000000e+00  -3.900941809294e+01   3.157003646495e-01  -2.636216608167e+00   7.888326764348e+05   1.148421038755e-01   4.617573099573e-01   0.000000000000e+00   1.200000000000e-02  -2.004291341615e-02
belloc               foil_left              4.437500000000e-01  -1.305601065589e-02  -3.714708003369e-01   6.132684390680e-02   2.988632596685e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.544984694979e-02   3.184761610843e-03   3.390805636884e+00   0.000000000000e+00  -3.882542177667e+01   3.042760999835e-01  -2.626130985930e+00   7.940997694065e+05   1.142998928547e-01   4.626660346711e-01   0.000000000000e+00   1.200000000000e-02  -2.004291341615e-02
belloc               foil_left              4.312500000000e-01  -1.235756313027e-02  -3.616551422269e-01   5.717852859442e-02   3.022472375691e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.544984694979e-02   3.220822125345e-03   3.426371434246e+00   0.000000000000e+00  -3.839090846119e+01   2.816784063068e-01  -2.614548679430e+00   7.941182822049e+05   1.130228193446e-01   4.662911578371e-01   0.000000000000e+00   1.200000000000e-02  -2.004291341615e-02
belloc               foil_left              4.187500000000e-01  -1.165911560464e-02  -3.518394841170e-01   5.303021328204e-02   3.056312154696e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.104946729113e-02   3.256882639848e-03   3.667703262891e+00   0.000000000000e+00  -3.630234675242e+01   1.767987181868e-01  -2.558590500233e+00   7.596666313215e+05   1.068925871190e-01   4.908568262447e-01   0.000000000000e+00   1.200000000000e-02  -2.003732834079e-02
belloc               foil_left              4.062500000000e-01  -1.103341877192e-02  -3.418481534412e-01   4.943119414816e-02   3.084366022099e-01   0.000000000000e+00   2.192133540505e-01  -4.276056667386e-02  -5.088787804741e-02   3.286777542300e-03   3.529930994559e+00   0.000000000000e+00  -3.734573265374e+01   3.182985206672e-01  -2.493630501733e+00   7.891025076911e+05   1.099619678131e-01   4.767474777352e-01   0.000000000000e+00   1.200000000000e-02  -2.002592373205e-02
belloc               foil_left              3.937500000000e-01  -1.057747355597e-02  -3.314469201121e-01   4.711386609743e-02   3.105187500000e-01   0.000000000000e+00   2.192133540505e-01  -4.276056667386e-02  -4.393380027775e-02   3.308965429688e-03   3.501461928976e+00   0.000000000000e+00  -3.784866106832e+01   2.810153663460e-01  -2.442903593760e+00   8.053064910378e+05   1.114307531701e-01   4.738071228793e-01   0.000000000000e+00   1.200000000000e-02  -2.001931732356e-02
belloc               foil_left              3.812500000000e-01  -1.012152834002e-02  -3.210456867829e-01   4.479653804671e-02   3.124562500000e-01   0.000000000000e+00   2.192133540505e-01  -4.276056667386e-02  -4.276056667386e-02   3.329611914063e-03   3.416735455316e+00   0.000000000000e+00  -3.874497084246e+01   2.945915806953e-01  -2.435551696337e+00   8.294835278191e+05   1.140586284524e-01   4.651652386759e-01   0.000000000000e+00   1.200000000000e-02  -2.001829860136e-02
belloc               foil_left              3.687500000000e-01  -9.665583124071e-03  -3.106444534537e-01   4.247920999598e-02   3.143937500000e-01   0.000000000000e+00   2.192133540505e-01  -4.276056667386e-02  -4.276056667386e-02   3.350258398437e-03   3.400728469007e+00   0.000000000000e+00  -3.901077434730e+01   2.857933024494e-01  -2.438609417885e+00   8.403264255321e+05   1.148374954210e-01   4.635336909308e-01   0.000000000000e+00   1.200000000000e-02  -2.001829860136e-02
